Fair Wage Schedule for Federal Construction Contracts,,,,
,,,,
Province,Area Zone,Classes,Occupation,Wage Rate per Hour
Ontario ,Toronto Zone,,*Heavy-Duty Equipment Mechanics,$28.76
Ontario ,Toronto Zone,,*Refrigeration and Air Conditioning Mechanics,$37.46
Ontario ,Toronto Zone,,Elevator Constructors,$43.53
Ontario ,Toronto Zone,,*Mobile Crane Operators,$35.30
Ontario ,Toronto Zone,,*Tower Crane Operators,$36.62
Ontario ,Toronto Zone,,Straight Truck Drivers,$26.22
Ontario ,Toronto Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,$26.91
Ontario ,Toronto Zone,,"Operators - Heavy Equipment (ex. Cranes, Graders)",$31.18
Ontario ,Toronto Zone,,Grader Operators,$31.17
Ontario ,Toronto Zone,,Asphalt Plant Operators,$29.36
Ontario ,Toronto Zone,,Scraper Operators,$31.37
Ontario ,Toronto Zone,,Packer (road-roller) Operators,$29.09
Ontario ,Toronto Zone,,Pressure Vessel Welders,$35.63
Ontario ,Toronto Zone,,Traffic Accommodation/Control Persons,$23.79
Ontario ,Toronto Zone,,Labourers (Except Traffic Accommodation/Control Persons),$27.04
Ontario ,Kitchener-Waterloo-Barrie,,*Electricians,$28.79
Ontario ,Kitchener-Waterloo-Barrie,,*Plumbers,$32.87
Ontario ,Kitchener-Waterloo-Barrie,,Sprinkler System Installers,$36.14
Ontario ,Kitchener-Waterloo-Barrie,,"* Pipefitters, Steamfitters",$34.60
Ontario ,Kitchener-Waterloo-Barrie,,*Sheet Metal Workers,$30.48
Ontario ,Kitchener-Waterloo-Barrie,,Boilermakers,$33.26
Ontario ,Kitchener-Waterloo-Barrie,,Ironworkers [except Reinforcing Ironworker (Rebar/Rodman)],$29.93
Ontario ,Kitchener-Waterloo-Barrie,,Reinforcing Ironworkers (rebar/rodman),$33.08
Ontario ,Kitchener-Waterloo-Barrie,,Carpenters,$26.54
Ontario ,Kitchener-Waterloo-Barrie,,Bricklayers,$32.69
Ontario ,Kitchener-Waterloo-Barrie,,Cement Finishers,$24.07
Ontario ,Kitchener-Waterloo-Barrie,,"Tilesetters (including terrazo, marble setters)",$31.65
Ontario ,Kitchener-Waterloo-Barrie,,Plasterers and Drywall Tapers,$29.56
Ontario ,Kitchener-Waterloo-Barrie,,"Drywall Installers, Finishers and Lathers",$32.26
Ontario ,Kitchener-Waterloo-Barrie,,Interior System Mechanics (including Steel Stud),$32.38
Ontario ,Kitchener-Waterloo-Barrie,,Roofers,$21.23
Ontario ,Kitchener-Waterloo-Barrie,,Glaziers,$29.20
Ontario ,Kitchener-Waterloo-Barrie,,Insulators,$32.35
Ontario ,Kitchener-Waterloo-Barrie,,Painters,$23.34
Ontario ,Kitchener-Waterloo-Barrie,,Flooring Installers,$30.22
Ontario ,Kitchener-Waterloo-Barrie,,Construction Millwrights,$34.60
Ontario ,Kitchener-Waterloo-Barrie,,*Heavy-Duty Equipment Mechanics,$29.64
Ontario ,Kitchener-Waterloo-Barrie,,*Refrigeration and Air Conditioning Mechanics,$36.14
Ontario ,Kitchener-Waterloo-Barrie,,Elevator Constructors,$43.53
Ontario ,Kitchener-Waterloo-Barrie,,*Mobile Crane Operators,$33.82
Ontario ,Kitchener-Waterloo-Barrie,,*Tower Crane Operators,$34.78
Ontario ,Kitchener-Waterloo-Barrie,,Straight Truck Drivers,$20.10
Ontario ,Kitchener-Waterloo-Barrie,,Road Tractor Drivers for Semi-Trailers and Trailers,$23.52
Ontario ,Kitchener-Waterloo-Barrie,,"Operators - Heavy Equipment (ex. Cranes, Graders)",$24.34
Ontario ,Kitchener-Waterloo-Barrie,,Grader Operators,$27.47
Ontario ,Kitchener-Waterloo-Barrie,,Asphalt Plant Operators,$24.13
Ontario ,Kitchener-Waterloo-Barrie,,Scraper Operators,$29.16
Ontario ,Kitchener-Waterloo-Barrie,,Packer (road-roller) Operators,$20.18
Ontario ,Kitchener-Waterloo-Barrie,,Pressure Vessel Welders,$31.72
Ontario ,Kitchener-Waterloo-Barrie,,Traffic Accommodation/Control Persons,$16.95
Ontario ,Kitchener-Waterloo-Barrie,,Labourers (Except Traffic Accommodation/Control Persons),$19.94
Ontario ,Hamilton-Niagara Peninsula Zone,,*Electricians,$32.81
Ontario ,Hamilton-Niagara Peninsula Zone,,*Plumbers,$33.29
Ontario ,Hamilton-Niagara Peninsula Zone,,Sprinkler System Installers,$36.14
Ontario ,Hamilton-Niagara Peninsula Zone,,"* Pipefitters, Steamfitters",$32.52
Ontario ,Hamilton-Niagara Peninsula Zone,,*Sheet Metal Workers,$35.26
Ontario ,Hamilton-Niagara Peninsula Zone,,Boilermakers,$33.26
Ontario ,Hamilton-Niagara Peninsula Zone,,Ironworkers [except Reinforcing Ironworker (Rebar/Rodman)],$29.93
Ontario ,Hamilton-Niagara Peninsula Zone,,Reinforcing Ironworkers (rebar/rodman),$34.17
Ontario ,Hamilton-Niagara Peninsula Zone,,Carpenters,$25.95
Ontario ,Hamilton-Niagara Peninsula Zone,,Bricklayers,$32.30
Ontario ,Hamilton-Niagara Peninsula Zone,,Cement Finishers,$25.01
Ontario ,Hamilton-Niagara Peninsula Zone,,"Tilesetters (including terrazo, marble setters)",$31.65
Ontario ,Hamilton-Niagara Peninsula Zone,,"Plasterers, and Drywall Tapers",$31.33
Ontario ,Hamilton-Niagara Peninsula Zone,,"Drywall Installers, Finishers and Lathers",$32.15
Ontario ,Hamilton-Niagara Peninsula Zone,,Interior System Mechanics (including Steel Stud),$32.38
Ontario ,Hamilton-Niagara Peninsula Zone,,Roofers,$21.23
Ontario ,Hamilton-Niagara Peninsula Zone,,Glaziers,$32.95
Ontario ,Hamilton-Niagara Peninsula Zone,,Insulators,$32.35
Ontario ,Hamilton-Niagara Peninsula Zone,,Painters,$23.34
Ontario ,Hamilton-Niagara Peninsula Zone,,Flooring Installers,$30.22
Ontario ,Hamilton-Niagara Peninsula Zone,,Construction Millwrights,$34.60
Ontario ,Hamilton-Niagara Peninsula Zone,,*Heavy-Duty Equipment Mechanics,$32.21
Ontario ,Hamilton-Niagara Peninsula Zone,,*Refrigeration and Air Conditioning Mechanics,$30.62
Ontario ,Hamilton-Niagara Peninsula Zone,,Elevator Constructors,$43.53
Ontario ,Hamilton-Niagara Peninsula Zone,,*Mobile Crane Operators,$33.82
Ontario ,Hamilton-Niagara Peninsula Zone,,*Tower Crane Operators,$34.78
Ontario ,Hamilton-Niagara Peninsula Zone,,Straight Truck Drivers,$23.24
Ontario ,Hamilton-Niagara Peninsula Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,$27.26
Ontario ,Hamilton-Niagara Peninsula Zone,,"Operators - Heavy Equipment (ex. Cranes, Graders)",$25.87
Ontario ,Hamilton-Niagara Peninsula Zone,,Grader Operators,$29.34
Ontario ,Hamilton-Niagara Peninsula Zone,,Asphalt Plant Operators,$24.13
Ontario ,Hamilton-Niagara Peninsula Zone,,Scraper Operators,$29.16
Ontario ,Hamilton-Niagara Peninsula Zone,,Packer (road-roller) Operators,$24.47
Ontario ,Hamilton-Niagara Peninsula Zone,,Pressure Vessel Welders,$33.03
Ontario ,Hamilton-Niagara Peninsula Zone,,Traffic Accommodation/Control Persons,$17.34
Ontario ,Hamilton-Niagara Peninsula Zone,,Labourers (Except Traffic Accommodation/Control Persons),$23.73
Ontario ,London / Stratford Zone,,*Electricians,$30.71
Ontario ,London / Stratford Zone,,*Plumbers,$32.46
Ontario ,London / Stratford Zone,,Sprinkler System Installers,$36.14
Ontario ,London / Stratford Zone,,"* Pipefitters, Steamfitters",$34.62
Ontario ,London / Stratford Zone,,*Sheet Metal Workers,$24.17
Ontario ,London / Stratford Zone,,Boilermakers,$33.26
Ontario ,London / Stratford Zone,,Ironworkers [except Reinforcing Ironworker (Rebar/Rodman)],$26.46
Ontario ,London / Stratford Zone,,Reinforcing Ironworkers (rebar/rodman),$27.89
Ontario ,London / Stratford Zone,,Carpenters,$26.09
Ontario ,London / Stratford Zone,,Bricklayers,$25.30
Ontario ,London / Stratford Zone,,Cement Finishers,$24.58
Ontario ,London / Stratford Zone,,"Tilesetters (including terrazo, marble setters)",$31.65
Ontario ,London / Stratford Zone,,Plasterers and Drywall Tapers,$31.33
Ontario ,London / Stratford Zone,,Drywall Installers and Finishers and Lathers,$25.51
Ontario ,London / Stratford Zone,,Interior System Mechanics (including Steel Stud),$24.80
Ontario ,London / Stratford Zone,,Roofers,$19.85
Ontario ,London / Stratford Zone,,Glaziers,$29.20
Ontario ,London / Stratford Zone,,Insulators,$30.40
Ontario ,London / Stratford Zone,,Painters,$16.30
Ontario ,London / Stratford Zone,,Flooring Installers,$23.02
Ontario ,London / Stratford Zone,,Construction Millwrights,$34.60
Ontario ,London / Stratford Zone,,*Heavy-Duty Equipment Mechanics,$24.97
Ontario ,London / Stratford Zone,,*Refrigeration and Air Conditioning Mechanics,$33.79
Ontario ,London / Stratford Zone,,Elevator Constructors,$43.53
Ontario ,London / Stratford Zone,,*Mobile Crane Operators,$33.82
Ontario ,London / Stratford Zone,,*Tower Crane Operators,$34.78
Ontario ,London / Stratford Zone,,Straight Truck Drivers,$19.87
Ontario ,London / Stratford Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,$21.07
Ontario ,London / Stratford Zone,,"Operators - Heavy Equipment (ex. Cranes, Graders)",$23.78
Ontario ,London / Stratford Zone,,Grader Operators,$25.06
Ontario ,London / Stratford Zone,,Asphalt Plant Operators,$21.53
Ontario ,London / Stratford Zone,,Scraper Operators,$24.17
Ontario ,London / Stratford Zone,,Packer (road-roller) Operators,$22.14
Ontario ,London / Stratford Zone,,Pressure Vessel Welders,$33.03
Ontario ,London / Stratford Zone,,Traffic Accommodation/Control Persons,$20.94
Ontario ,London / Stratford Zone,,Labourers (Except Traffic Accommodation/Control Persons),$20.68
Ontario ,Windsor-Sarnia Zone,,*Electricians,$35.64
Ontario ,Windsor-Sarnia Zone,,*Plumbers,$30.28
Ontario ,Windsor-Sarnia Zone,,Sprinkler System Installers,$36.14
Ontario ,Windsor-Sarnia Zone,,"* Pipefitters, Steamfitters",$32.52
Ontario ,Windsor-Sarnia Zone,,*Sheet Metal Workers,$28.07
Ontario ,Windsor-Sarnia Zone,,Boilermakers,$33.26
Ontario ,Windsor-Sarnia Zone,,Ironworkers [except Reinforcing Ironworker (Rebar/Rodman)],$29.44
Ontario ,Windsor-Sarnia Zone,,Reinforcing Ironworkers (rebar/rodman),$32.26
Ontario ,Windsor-Sarnia Zone,,Carpenters,$27.82
Ontario ,Windsor-Sarnia Zone,,Bricklayers,$33.53
Ontario ,Windsor-Sarnia Zone,,Cement Finishers,$26.47
Ontario ,Windsor-Sarnia Zone,,"Tilesetters (including terrazo, marble setters)",$31.65
Ontario ,Windsor-Sarnia Zone,,Plasterers and Drywall Tapers,$31.33
Ontario ,Windsor-Sarnia Zone,,"Drywall Installers, and Finishers and Lathers",$32.26
Ontario ,Windsor-Sarnia Zone,,Interior System Mechanics (including Steel Stud),$32.38
Ontario ,Windsor-Sarnia Zone,,Roofers,$17.35
Ontario ,Windsor-Sarnia Zone,,Glaziers,$29.20
Ontario ,Windsor-Sarnia Zone,,Insulators,$33.56
Ontario ,Windsor-Sarnia Zone,,Painters,$25.16
Ontario ,Windsor-Sarnia Zone,,Flooring Installers,$30.22
Ontario ,Windsor-Sarnia Zone,,Construction Millwrights,$34.60
Ontario ,Windsor-Sarnia Zone,,*Heavy-Duty Equipment Mechanics,$24.22
Ontario ,Windsor-Sarnia Zone,,*Refrigeration and Air Conditioning Mechanics,$30.62
Ontario ,Windsor-Sarnia Zone,,Elevator Constructors,$43.53
Ontario ,Windsor-Sarnia Zone,,*Mobile Crane Operators,$33.82
Ontario ,Windsor-Sarnia Zone,,*Tower Crane Operators,$34.78
Ontario ,Windsor-Sarnia Zone,,Straight Truck Drivers,$18.63
Ontario ,Windsor-Sarnia Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,$22.30
Ontario ,Windsor-Sarnia Zone,,"Operators - Heavy Equipment (ex. Cranes, Graders)",$28.63
Ontario ,Windsor-Sarnia Zone,,Grader Operators,$27.47
Ontario ,Windsor-Sarnia Zone,,Asphalt Plant Operators,$24.13
Ontario ,Windsor-Sarnia Zone,,Scraper Operators,$29.16
Ontario ,Windsor-Sarnia Zone,,Packer (road-roller) Operators,$26.45
Ontario ,Windsor-Sarnia Zone,,Pressure Vessel Welders,$27.31
Ontario ,Windsor-Sarnia Zone,,Traffic Accommodation/Control Persons,$19.05
Ontario ,Windsor-Sarnia Zone,,Labourers (Except Traffic Accommodation/Control Persons),$22.60
Saskatchewan,Regina/Saskatoon Zone,,*Electricians,$27.33
Saskatchewan,Regina/Saskatoon Zone,,*Plumbers,$26.09
Saskatchewan,Regina/Saskatoon Zone,,"Pipefitters, Steamfitters",$27.87
Saskatchewan,Regina/Saskatoon Zone,,*Sheet Metal Workers,$24.87
Saskatchewan,Regina/Saskatoon Zone,,Ironworkers (except reinforcing ironworkers (rebar/rodman)),$28.68
Saskatchewan,Regina/Saskatoon Zone,,Reinforcing Ironworkers (Rebar/rodman),$21.83
Saskatchewan,Regina/Saskatoon Zone,,Carpenters,$22.79
Saskatchewan,Regina/Saskatoon Zone,,Bricklayers (except refractory bricklayers),$26.62
Saskatchewan,Regina/Saskatoon Zone,,Concrete Finishers,$17.94
Saskatchewan,Regina/Saskatoon Zone,,"Tilesetters (including terrazo, marble setters)",$19.04
Saskatchewan,Regina/Saskatoon Zone,,"Drywall Installers, Finishers",$19.25
Saskatchewan,Regina/Saskatoon Zone,,Interior System Mechanics (including steel stud),$20.77
Saskatchewan,Regina/Saskatoon Zone,,Roofers,$17.01
Saskatchewan,Regina/Saskatoon Zone,,Glaziers,$18.30
Saskatchewan,Regina/Saskatoon Zone,,Insulators,$17.47
Saskatchewan,Regina/Saskatoon Zone,,Painters,$16.89
Saskatchewan,Regina/Saskatoon Zone,,Heavy-Duty Equipment Mechanics,$22.95
Saskatchewan,Regina/Saskatoon Zone,,*Refrigeration and Air Conditioning Mechanics,$29.62
Saskatchewan,Regina/Saskatoon Zone,,Mobile Crane Operators,$30.93
Saskatchewan,Regina/Saskatoon Zone,,Straight Truck Drivers,$17.91
Saskatchewan,Regina/Saskatoon Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,$19.48
Saskatchewan,Regina/Saskatoon Zone,,"Heavy Equipment Operators (except cranes, graders and asphalt plant operators)",$21.86
Saskatchewan,Regina/Saskatoon Zone,,Grader Operators,$20.56
Saskatchewan,Regina/Saskatoon Zone,,Asphalt Plant Operators,$18.55
Saskatchewan,Regina/Saskatoon Zone,,General Welder – Canadian Welders' Bureau,$25.44
Saskatchewan,Regina/Saskatoon Zone,,Traffic Accommodation Person (flagperson),$12.37
Saskatchewan,Regina/Saskatoon Zone,,Form Setters,$19.35
Saskatchewan,Regina/Saskatoon Zone,,Asphalt Layers (by hand – includes rakers),$18.06
Saskatchewan,Regina/Saskatoon Zone,,"Trade Helpers, Labourers (except asphalt layers and scaffold erectors)",$13.72
Saskatchewan,Regina/Saskatoon Zone,,Scaffold Erectors,$20.12
Saskatchewan,North/Southwest Zone,,*Electricians,$27.03
Saskatchewan,North/Southwest Zone,,*Plumbers,$23.36
Saskatchewan,North/Southwest Zone,,"Pipefitters, Steamfitters",$27.52
Saskatchewan,North/Southwest Zone,,*Sheet Metal Workers,$24.36
Saskatchewan,North/Southwest Zone,,Ironworkers (except reinforcing ironworkers (rebar/rodman)),$28.68
Saskatchewan,North/Southwest Zone,,Reinforcing Ironworkers (rebar/rodman),$21.94
Saskatchewan,North/Southwest Zone,,Carpenters,$22.18
Saskatchewan,North/Southwest Zone,,Bricklayers (except refractory bricklayers),$26.62
Saskatchewan,North/Southwest Zone,,Concrete Finishers,$19.98
Saskatchewan,North/Southwest Zone,,"Tilesetters (including terrazo, marble setters)",$18.96
Saskatchewan,North/Southwest Zone,,"Drywall Installers, Finishers",$21.17
Saskatchewan,North/Southwest Zone,,Interior System Mechanics (including steel stud),$21.01
Saskatchewan,North/Southwest Zone,,Roofers,$17.11
Saskatchewan,North/Southwest Zone,,Glaziers,$18.30
Saskatchewan,North/Southwest Zone,,Insulators,$17.64
Saskatchewan,North/Southwest Zone,,Painters,$20.06
Saskatchewan,North/Southwest Zone,,Heavy-Duty Equipment Mechanics,$23.15
Saskatchewan,North/Southwest Zone,,*Refrigeration and Air Conditioning Mechanics,$23.57
Saskatchewan,North/Southwest Zone,,Mobile Crane Operators,$31.44
Saskatchewan,North/Southwest Zone,,Straight Truck Drivers,$16.10
Saskatchewan,North/Southwest Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,$17.35
Saskatchewan,North/Southwest Zone,,"Heavy Equipment Operators (except cranes, graders and asphalt plant operators)",$19.06
Saskatchewan,North/Southwest Zone,,Grader Operators,$20.93
Saskatchewan,North/Southwest Zone,,Asphalt Plant Operators,$17.05
Saskatchewan,North/Southwest Zone,,General Welder – Canadian Welders' Bureau,$26.00
Saskatchewan,North/Southwest Zone,,Traffic Accommodation Person (flagperson),$12.57
Saskatchewan,North/Southwest Zone,,Form Setters,$19.44
Saskatchewan,North/Southwest Zone,,Asphalt Layers (by hand – includes rakers),$16.95
Saskatchewan,North/Southwest Zone,,"Trade Helpers, Labourers (except asphalt layers and scaffold erectors)",$15.40
Saskatchewan,North/Southwest Zone,,Scaffold Erectors,$20.12
Newfoundland and Labrador,"Central, West and Labrador Zone",,Electricians,$20.40
Newfoundland and Labrador,"Central, West and Labrador Zone",,Plumbers,$19.45
Newfoundland and Labrador,"Central, West and Labrador Zone",,"Pipefitters, Steamfitters",$16.31
Newfoundland and Labrador,"Central, West and Labrador Zone",,Sheet Metal Workers,$20.39
Newfoundland and Labrador,"Central, West and Labrador Zone",,Ironworkers,$19.06
Newfoundland and Labrador,"Central, West and Labrador Zone",,Carpenters,$15.06
Newfoundland and Labrador,"Central, West and Labrador Zone",,Bricklayers,$19.47
Newfoundland and Labrador,"Central, West and Labrador Zone",,Cement Finishers,$14.29
Newfoundland and Labrador,"Central, West and Labrador Zone",,Roofers,$15.02
Newfoundland and Labrador,"Central, West and Labrador Zone",,Painters,$14.25
Newfoundland and Labrador,"Central, West and Labrador Zone",,Flooring Installer,$16.67
Newfoundland and Labrador,"Central, West and Labrador Zone",,Heavy-Duty Equipment Mechanics,$15.96
Newfoundland and Labrador,"Central, West and Labrador Zone",,Refrigeration and Air Conditioning Mechanics,$21.59
Newfoundland and Labrador,"Central, West and Labrador Zone",,Mobile Crane Operators,$18.47
Newfoundland and Labrador,"Central, West and Labrador Zone",,Truck Drivers,$14.44
Newfoundland and Labrador,"Central, West and Labrador Zone",,"Operators Heavy Equipment (ex. Cranes, Graders, Asphalt Paving)",$15.70
Newfoundland and Labrador,"Central, West and Labrador Zone",,Grader Operators,$15.77
Newfoundland and Labrador,"Central, West and Labrador Zone",,Paver and Asphalt Plant Operators,$16.88
Newfoundland and Labrador,"Central, West and Labrador Zone",,Traffic Accommodation Person (Flag Person),$9.32
Newfoundland and Labrador,"Central, West and Labrador Zone",,"Trade Helpers, Labourers (ex. Asphalt Layers, Flag persons, Form setter)",$12.18
Newfoundland and Labrador,"Central, West and Labrador Zone",,Powder Person and Driller,$14.77
Newfoundland and Labrador,Avalon Zone (St. John's),,Electricians,$22.59
Newfoundland and Labrador,Avalon Zone (St. John's),,Plumbers,$21.24
Newfoundland and Labrador,Avalon Zone (St. John's),,"Pipefitters, Steamfitters",$25.64
Newfoundland and Labrador,Avalon Zone (St. John's),,Sheet Metal Workers,$21.45
Newfoundland and Labrador,Avalon Zone (St. John's),,Ironworkers,$19.14
Newfoundland and Labrador,Avalon Zone (St. John's),,Carpenters,$16.44
Newfoundland and Labrador,Avalon Zone (St. John's),,Bricklayers,$19.47
Newfoundland and Labrador,Avalon Zone (St. John's),,Cement Finishers,$16.72
Newfoundland and Labrador,Avalon Zone (St. John's),,"Tilesetters (including terrazo, marble setters)",$16.99
Newfoundland and Labrador,Avalon Zone (St. John's),,"Plasterers, Drywall Installers and Finishers and Lathers",$16.38
Newfoundland and Labrador,Avalon Zone (St. John's),,Roofers,$15.00
Newfoundland and Labrador,Avalon Zone (St. John's),,Painters,$14.84
Newfoundland and Labrador,Avalon Zone (St. John's),,Flooring Installer,$16.39
Newfoundland and Labrador,Avalon Zone (St. John's),,Heavy-Duty Equipment Mechanics,$16.49
Newfoundland and Labrador,Avalon Zone (St. John's),,Insulator,$15.27
Newfoundland and Labrador,Avalon Zone (St. John's),,Refrigeration and Air Conditioning Mechanics,$23.02
Newfoundland and Labrador,Avalon Zone (St. John's),,Mobile Crane Operators,$19.80
Newfoundland and Labrador,Avalon Zone (St. John's),,Truck Drivers,$14.41
Newfoundland and Labrador,Avalon Zone (St. John's),,"Operators Heavy Equipment (ex. Cranes, Graders, Asphalt Paving)",$16.18
Newfoundland and Labrador,Avalon Zone (St. John's),,Grader Operators,$17.03
Newfoundland and Labrador,Avalon Zone (St. John's),,Paver and Asphalt Plant Operators,$17.10
Newfoundland and Labrador,Avalon Zone (St. John's),,Pressure Vessel Welder,$21.66
Newfoundland and Labrador,Avalon Zone (St. John's),,Traffic Accommodation Person (Flag Person),$9.27
Newfoundland and Labrador,Avalon Zone (St. John's),,"Trade Helpers, Labourers (ex. Asphalt Layers, Flag persons, Form setter)",$12.81
Northwest Territories,,,Electricians,$34.10
Northwest Territories,,,Plumbers,$32.90
Northwest Territories,,,Carpenters,$27.90
Northwest Territories,,,General Welder (Canadian Welders Bureau),$32.70
Northwest Territories,,,"Plasterers, Drywall Installers, Finishers and Lathers",$27.20
Northwest Territories,,,Painters,$24.90
Northwest Territories,,,Heavy Equipment Mechanics,$35.30
Northwest Territories,,,Truck Drivers,$26.00
Northwest Territories,,,"Heavy Equipment Operators (excluding Cranes, Graders and Asphalt and Paving Machines)",$28.20
Northwest Territories,,,"Helpers, Labourers (excluding Traffic Accommodation Persons)",$18.90
Yukon,,Category A Class,Boilermakers (erection and repair),$30.61
Yukon,,Category A Class,Bricklayers and Stone Masons,$30.61
Yukon,,Category A Class,Carpenters,$30.61
Yukon,,Category A Class,"Crane Operators (overhead, climbing, skyway or equivalent)",$30.61
Yukon,,Category A Class,Divers,$30.61
Yukon,,Category A Class,Electricians,$30.61
Yukon,,Category A Class,Elevator Mechanics,$30.61
Yukon,,Category A Class,Glass and Metal Installers,$30.61
Yukon,,Category A Class,"Head Cook, Camp (camp size over 100 persons)",$30.61
Yukon,,Category A Class,Heavy-Duty Equipment Mechanics,$30.61
Yukon,,Category A Class,"Heavy Equipment Operators (dragline, gradall, pile driver, shovel, mobile crane)",$30.61
Yukon,,Category A Class,"Interior Systems Mechanics (metal framing and walls, drywall application, drywall contact and suspended ceilings, acoustical and metal linear ceiling, demountable partition, shaft wall and access floor systems, plenum barriers, fireproofing and plasters)",$30.61
Yukon,,Category A Class,Linespersons (electric),$30.61
Yukon,,Category A Class,Mechanical Systems Insulators,$30.61
Yukon,,Category A Class,Millwrights,$30.61
Yukon,,Category A Class,"Plumbers, Steamfitters and Welders (pipe)",$30.61
Yukon,,Category A Class,Refrigeration Mechanics,$30.61
Yukon,,Category A Class,Sheet Metal Mechanics,$30.61
Yukon,,Category A Class,Sprinkler System Installers,$30.61
Yukon,,Category A Class,Structural Steel Erectors (includes reinforcing ironwork),$30.61
Yukon,,Category A Class,Surveyors,$30.61
Yukon,,Category A Class,Tilesetters,$30.61
Yukon,,Category A Class,Welders - General (acetylene and electric),$30.61
Yukon,,Category B Class,Asphalt or Concrete Spreader Operators,$27.44
Yukon,,Category B Class,Batchpersons (operator of asphalt or concrete plant),$27.44
Yukon,,Category B Class,Blasters,$27.44
Yukon,,Category B Class,Cement Finishers,$27.44
Yukon,,Category B Class,Compressor Operators,$27.44
Yukon,,Category B Class,Concrete Mixer Operators,$27.44
Yukon,,Category B Class,Drillers,$27.44
Yukon,,Category B Class,Float Drivers,$27.44
Yukon,,Category B Class,Floor Covering Installers (includes carpet and resilient tile),$27.44
Yukon,,Category B Class,"Head Cook, Camp (camp size 1 to 100 persons)",$27.44
Yukon,,Category B Class,"Heavy Equipment Operators (rubber tire backhoe, tracked backhoe, bulldozer, front end loaders, graders, scrapers or equivalent)",$27.44
Yukon,,Category B Class,Heavy Equipment Servicer,$27.44
Yukon,,Category B Class,Hoist Operators,$27.44
Yukon,,Category B Class,Ornamental and Miscellaneous Metal Erectors,$27.44
Yukon,,Category B Class,Painters and Paper Hangers,$27.44
Yukon,,Category B Class,Pipelayers,$27.44
Yukon,,Category B Class,Roofers,$27.44
Yukon,,Category B Class,Truck Drivers (heavy - 10 ton G.V.W. and up),$27.44
Yukon,,Category C Class,Blaster's Helpers,$24.34
Yukon,,Category C Class,"Concrete Floatpersons (puddleperson, screedperson)",$24.34
Yukon,,Category C Class,"Second Cook/Baker, Camp",$24.34
Yukon,,Category C Class,Surveyor's Helpers,$24.34
Yukon,,Category C Class,Truck Drivers (G.V.W. - 3 to 10 Tons),$24.34
Yukon,,Category D Class,Asphalt Rakers,$22.09
Yukon,,Category D Class,Camp/Kitchen Helpers,$22.09
Yukon,,Category D Class,Driller's Helpers,$22.09
Yukon,,Category D Class,First Aid Attendants,$22.09
Yukon,,Category D Class,Flagpersons,$22.09
Yukon,,Category D Class,Jackhammer Operators,$22.09
Yukon,,Category D Class,Labourers,$22.09
Yukon,,Category D Class,Mortar Persons,$22.09
Yukon,,Category D Class,Pump Tenders,$22.09
Yukon,,Category D Class,"Roller Operators (roller, packer or compactor)",$22.09
Yukon,,Category D Class,Roofer's Helpers,$22.09
Yukon,,Category D Class,Watchpersons or Security Guards,$22.09
