Fair Wage Schedule for Federal Construction Contracts,,,,
,,,,
Province,Area Zone,Classes,Occupation,Wage Rate per Hour
British Columbia,Island/Coast/North Zone,,Road Tractor Drivers of Semi-Trailers and Trailers,$25.90
British Columbia,Island/Coast/North Zone,,"Heavy Equipment Operators (excluding Cranes, Graders and Asphalt and Paving Machines)",$27.40
British Columbia,Island/Coast/North Zone,,Grader Operators,$27.10
British Columbia,Island/Coast/North Zone,,Paving Machine and Asphalt Plant Operators,$28.70
British Columbia,Island/Coast/North Zone,,Scraper Operators,$28.40
British Columbia,Island/Coast/North Zone,,Packer (Road-Roller) Operators,$23.40
British Columbia,Island/Coast/North Zone,,Pressure Vessel Welders,$32.50
British Columbia,Island/Coast/North Zone,,Traffic Accommodation Persons,$17.50
British Columbia,Island/Coast/North Zone,,Form Setters,$23.40
British Columbia,Island/Coast/North Zone,,Asphalt Layers (by hand - includes rakers),$25.31
British Columbia,Island/Coast/North Zone,,"Helpers, Labourers (excluding Asphalt Layers, Traffic Accommodation Persons or Form Setters)",$18.70
British Columbia,Island/Coast/North Zone,,Powder Persons and Drillers,$29.40
British Columbia,Island/Coast/North Zone,,"Helpers, Labourers with First Aid Ticket",$19.00
British Columbia,Vancouver Zone,,Electricians,$31.40
British Columbia,Vancouver Zone,,Plumbers,$29.30
British Columbia,Vancouver Zone,,Sprinkler System Installers,$28.50
British Columbia,Vancouver Zone,,Steamfitters and Pipefitters,$31.40
British Columbia,Vancouver Zone,,Sheet Metal Workers,$29.30
British Columbia,Vancouver Zone,,Ironworkers (excluding Reinforcing Ironworkers),$27.90
British Columbia,Vancouver Zone,,Reinforcing Ironworkers (rebar/rodman),$21.10
British Columbia,Vancouver Zone,,Carpenters,$26.40
British Columbia,Vancouver Zone,,Bricklayers,$30.20
British Columbia,Vancouver Zone,,Concrete Finishers,$26.60
British Columbia,Vancouver Zone,,"Tilesetters (including Terrazzo and Marble, etc.)",$27.20
British Columbia,Vancouver Zone,,Plasterers and Stucco Applicators,$26.70
British Columbia,Vancouver Zone,,"Drywall Installers, Finishers, Lathers and Tapers",$27.10
British Columbia,Vancouver Zone,,Roofers,$24.30
British Columbia,Vancouver Zone,,Glaziers,$28.00
British Columbia,Vancouver Zone,,Insulators,$24.80
British Columbia,Vancouver Zone,,Painters,$22.70
British Columbia,Vancouver Zone,,Floor Covering Installers,$29.60
British Columbia,Vancouver Zone,,Construction Millwrights,$35.19
British Columbia,Vancouver Zone,,Heavy-Duty Equipment Mechanics,$31.70
British Columbia,Vancouver Zone,,Refrigeration and Air Conditioning Mechanics,$37.60
British Columbia,Vancouver Zone,,Elevator Constructors,$42.50
British Columbia,Vancouver Zone,,Mobile Crane Operators,$32.60
British Columbia,Vancouver Zone,,Tower Crane Operators,$32.80
British Columbia,Vancouver Zone,,Straight Truck Drivers,$23.30
British Columbia,Vancouver Zone,,Road Tractor Drivers of Semi-Trailers and Trailers,$25.80
British Columbia,Vancouver Zone,,"Heavy Equipment Operators (excluding Cranes, Graders and Asphalt and Paving Machines)",$29.90
British Columbia,Vancouver Zone,,Grader Operators,$28.70
British Columbia,Vancouver Zone,,Paving Machine and Asphalt Plant Operators,$28.70
British Columbia,Vancouver Zone,,Scraper Operators,$29.50
British Columbia,Vancouver Zone,,Packer (Road-Roller) Operators,$28.20
British Columbia,Vancouver Zone,,Pressure Vessel Welders,$29.10
British Columbia,Vancouver Zone,,Traffic Accommodation Persons,$20.70
British Columbia,Vancouver Zone,,Form Setters,$24.30
British Columbia,Vancouver Zone,,Asphalt Layers (by hand - includes rakers),$26.70
British Columbia,Vancouver Zone,,"Helpers, Labourers (excluding Asphalt Layers, Traffic Accommodation Persons or Form Setters)",$19.50
British Columbia,Vancouver Zone,,Powder Persons and Drillers,$29.30
British Columbia,Vancouver Zone,,"Helpers, Labourers with First Aid Ticket",$21.10
British Columbia,South Interior Zone,,Electricians,$28.80
British Columbia,South Interior Zone,,Plumbers,$30.00
British Columbia,South Interior Zone,,Sprinkler System Installers,$32.40
British Columbia,South Interior Zone,,Steamfitters and Pipefitters,$31.60
British Columbia,South Interior Zone,,Sheet Metal Workers,$29.10
British Columbia,South Interior Zone,,Ironworkers (excluding Reinforcing Ironworkers),$29.20
British Columbia,South Interior Zone,,Reinforcing Ironworkers (rebar/rodman),$22.90
British Columbia,South Interior Zone,,Carpenters,$26.70
British Columbia,South Interior Zone,,Bricklayers,$27.90
British Columbia,South Interior Zone,,Concrete Finishers,$24.40
British Columbia,South Interior Zone,,"Tilesetters (including Terrazzo and Marble, etc.)",$27.30
British Columbia,South Interior Zone,,Plasterer and Stucco Applicators,$26.00
British Columbia,South Interior Zone,,"Drywall Installers and Finishers, Lathers and Tapers",$27.40
British Columbia,South Interior Zone,,Roofers,$22.40
British Columbia,South Interior Zone,,Glaziers,$23.90
British Columbia,South Interior Zone,,Insulators,$20.60
British Columbia,South Interior Zone,,Painters,$21.10
British Columbia,South Interior Zone,,Floor Covering Installers,$28.58
British Columbia,South Interior Zone,,Construction Millwrights,$35.50
British Columbia,South Interior Zone,,Heavy Equipment Mechanics,$28.90
British Columbia,South Interior Zone,,Refrigeration and Air Conditioning Mechanics,$31.60
British Columbia,South Interior Zone,,Elevator Constructors,$43.79
British Columbia,South Interior Zone,,Mobile Crane Operators,$29.00
British Columbia,South Interior Zone,,Tower Crane Operators,$30.18
British Columbia,South Interior Zone,,Straight Truck Drivers,$24.70
British Columbia,South Interior Zone,,Road Tractor Drivers of Semi-Trailers and Trailers,$24.20
British Columbia,South Interior Zone,,"Heavy Equipment Operators (excluding Cranes, Graders and Asphalt and Paving Machines)",$26.50
British Columbia,South Interior Zone,,Grader Operators,$26.50
British Columbia,South Interior Zone,,Paving Machine and Asphalt Plant Operators,$25.50
British Columbia,South Interior Zone,,Scraper Operators,$24.20
British Columbia,South Interior Zone,,Packer (Road-Roller) Operators,$23.60
British Columbia,South Interior Zone,,Pressure Vessel Welders,$32.70
British Columbia,South Interior Zone,,Traffic Accommodation Persons,$17.20
British Columbia,South Interior Zone,,Form Setters,$23.10
British Columbia,South Interior Zone,,Asphalt Layers (by hand - includes rakers),$25.31
British Columbia,South Interior Zone,,"Helpers, Labourers (excluding Asphalt Layers, Traffic Accommodation Persons or Form Setters)",$18.80
British Columbia,South Interior Zone,,Powder Persons and Drillers,$25.60
British Columbia,South Interior Zone,,"Helper, Labourers with First Aid Ticket",$19.20
Prince Edward Island,,,Electricians,$18.81
Prince Edward Island,,,Plumbers,$20.30
Prince Edward Island,,,Carpenters,$16.44
Prince Edward Island,,,Painters,$13.09
Prince Edward Island,,,Heavy-Duty Equipment Mechanics,$14.64
Prince Edward Island,,,Truck Drivers,$13.35
Prince Edward Island,,,"Operators Heavy Equipment (ex. Cranes, Graders, Asphalt Paving)",$14.17
Prince Edward Island,,,Grader Operators,$14.94
Prince Edward Island,,,Traffic Accommodation Person (Flag Person),$8.64
Prince Edward Island,,,"Trade Helpers, Labourers (ex. Asphalt Layers, Flag Persons, Form setter)",$12.75
Manitoba,Outside Winnipeg Area,Part 1: Journeypersons,Boilermaker,$23.22
Manitoba,Outside Winnipeg Area,Part 1: Journeypersons,Bricklayer,$24.21
Manitoba,Outside Winnipeg Area,Part 1: Journeypersons,Carpenter,$22.05
Manitoba,Outside Winnipeg Area,Part 1: Journeypersons,Concrete finisher,$19.04
Manitoba,Outside Winnipeg Area,Part 1: Journeypersons,Construction electrician,$26.06
Manitoba,Outside Winnipeg Area,Part 1: Journeypersons,Crane and hoisting equipment operator- Mobile crane operator,$21.78
Manitoba,Outside Winnipeg Area,Part 1: Journeypersons,Crane and hoisting equipment operator- Tower crane operator,$23.54
Manitoba,Outside Winnipeg Area,Part 1: Journeypersons,Crane and hoisting equipment operator- Boom truck hoist operator,$18.90
Manitoba,Outside Winnipeg Area,Part 1: Journeypersons,Glazier,$21.06
Manitoba,Outside Winnipeg Area,Part 1: Journeypersons,Industrial mechanic (millwright),$24.03
Manitoba,Outside Winnipeg Area,Part 1: Journeypersons,Ironworker- Structural steel erector,$24.21
Manitoba,Outside Winnipeg Area,Part 1: Journeypersons,Ironworker- Reinforcing iron (rebar),$21.02
Manitoba,Outside Winnipeg Area,Part 1: Journeypersons,Ironworker- Miscellaneous metal worker/ornamental worker,$23.84
Manitoba,Outside Winnipeg Area,Part 1: Journeypersons,Lather (interior systems mechanic),$20.03
Manitoba,Outside Winnipeg Area,Part 1: Journeypersons,"Painter, decorator",$19.22
Manitoba,Outside Winnipeg Area,Part 1: Journeypersons,Plumber,$25.74
Manitoba,Outside Winnipeg Area,Part 1: Journeypersons,Refrigeration and air conditioning mechanic,$25.02
Manitoba,Outside Winnipeg Area,Part 1: Journeypersons,Roofer,$20.84
Manitoba,Outside Winnipeg Area,Part 1: Journeypersons,Sheet metal worker,$26.55
Manitoba,Outside Winnipeg Area,Part 1: Journeypersons,Sprinkler system installer,$27.95
Manitoba,Outside Winnipeg Area,Part 1: Journeypersons,Steamfitter/pipefitter,$25.74
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,Asbestos abatement worker,$17.55
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Asbestos abatement worker Trainee 2 (1,201 to 2,400 hours)",$14.04
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Asbestos abatement worker Trainee 1 (0 to 1,200 hours)",$10.53
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,Elevator constructor,$27.00
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Elevator constructor Trainee 2 (1,201 to 2,400 hours)",$21.60
